Expression,Gold Standard
G (!i) | F (f U i),"This formula is always true, because either in every moment of the system execution, i is false, or, during the system execution, i becomes false and that satisfies F(fUi)"
(a U b) & (c U d),"b has to be true either in the moment in which the formula is evaluated -and in that case the formula does not constrain the value of a- or at some point in the future -and in that case, a has to be true from the moment the formula is evaluated until the instant before b is true (the formula does not constrain the value of a in the moment in which b is true or after it). In addition, d has to be true either in the moment in which the formula is evaluated -and in that case the formula does not constrain the value of c- or at some point in the future -and in that case, c has to be true from the moment the formula is evaluated until the instant before d is true (the formula does not constrain the value of c in the moment in which d is true or after it)."
b U (d & a),"d and a have to be true either in the moment in which the formula is evaluated -and in that case, the formula does not constrain the value of b- or at some point in the future -and in that case, b has to be true from the moment the formula is evaluated until the instant before d and a are true (the formula does not constrain the value of b in the moment in which d and a are true or after it)."
F (o | u),"There is at least one point during the system execution (that point can also be the present moment), in which at least one between o and u is true"
G (n => s),"In every moment of the system execution, when n is true s has to be true (when n is false we do not have any constraint on the value of s)"
(y & !d) | (y => d),"The formula is true because if y is true when it is evaluated and d is false, (y & !d) is true, otherwise (y=>d) is true, while, if y is false (y=>d ) is true, independently from the value of d"
X (f & i),"This formula is true if, in the instant after it is evaluated, f and i are both true."
X(!g | !j),"In the instant, after the formula is evaluated, at least one of these conditions has to hold: 1. g is false, 2. l is false"
X (!i) | X (j),"This formula is true if, in the instant, after it is evaluated, at least one between these two conditions hold: i is false or j is true. "
F d | G !n,"In every moment of the system execution, n has to be false or there has to be at least one moment (that point can also be the present moment) in the system execution, in which d is true or both constraints on d and n holds"
a U (c & d),"c and d has to be true either in the moment in which the formula is evaluated -and in that case, the formula does not constrain the value of a- or at some point in the future -and in that case, a has to be true from the moment the formula is evaluated until the instant before c and d are true (the formula does not constrain the value of a in the moment in which c and d are true or after it)."
b & X (a U c),"In the current moment in which the formula is evaluated b has to be true and  c has to be true either in the moment in which the formula is evaluated -and in that case the formula does not constrain the value of a- or at some point in the future -and in that case, a has to be true from the moment the formula is evaluated until the instant before c is true (the formula does not constrain the value of a in the moment in which c is true or after it)."
X !(t | w),"This formula is true if, in the instant after it is evaluated, both t and and w are false. "
F (o U u),"There has to be at least one moment (that point can also be the present moment) in the system execution, in which u is true"
